"","x"
"640",35
"641",137
"642",69
"643",8
"644",9
"645",113
"646",9
"647",3
"648",62
"649",5
"650",42
"651",10
"652",12
"653",4
"654",8
"655",10
"656",26
"657",7
"658",9
"659",35
"660",6
"661",10
"662",27
"663",10
"664",77
"665",41
"666",11
"667",5
"668",5
"669",14
"670",16
"671",50
"672",63
"673",25
"674",12
"675",14
"676",8
"677",15
"678",3
"679",38
"680",6
"681",10
"682",15
"683",9
"684",18
"685",46
"686",24
"687",24
"688",40
"689",7
"690",2
"691",5
"692",6
"693",2
"694",4
"695",3
"696",23
"697",16
"698",48
"699",354
"700",113
"701",29
"702",28
"703",95
"704",42
"705",97
"706",406
"707",78
"708",28
"709",39
"710",25
"711",127
"712",154
"713",163
"714",13
"715",9
"716",184
"717",79
"718",276
"719",78
"720",13
"721",45
"722",240
"723",17
"724",68
"725",22
"726",8
"727",36
"728",9
"729",31
"730",8
"731",4
"732",52
"733",44
"734",16
"735",45
"736",33
"737",27
"738",6
"739",6
"740",9
"741",7
"742",5
"743",9
"744",27
"745",20
"746",38
"747",8
"748",28
"749",3
"750",30
"751",209
"752",6
"753",12
"754",16
"755",52
"756",19
"757",193
"758",201
"759",92
"760",95
"761",95
"762",531
"763",3
"764",621
"765",31
"766",62
"767",123
"768",64
"769",279
"770",49
"771",98
"772",50
"773",169
"774",12
"775",106
"776",112
"777",25
"778",13
"779",8
"780",10
"781",55
"782",5
"783",5
"784",28
"785",6
"786",33
"787",26
"788",54
"789",7
"790",11
"791",4
"792",5
"793",12
"794",8
"795",10
"796",106
"797",14
"798",112
"799",21
"800",65
"801",8
"802",66
"803",211
"804",8
"805",53
"806",212
"807",126
"808",33
"809",67
"810",445
"811",178
"812",374
"813",108
"814",21
"815",172
"816",12
"817",152
"818",125
"819",260
"820",30
"821",10
"822",14
"823",4
"824",36
"825",26
"826",22
"827",35
"828",6
"829",15
"830",35
"831",34
"832",10
"833",34
"834",50
"835",44
"836",35
"837",8
"838",140
"839",38
"840",6
"841",9
"842",416
"843",124
"844",43
"845",359
"846",4
"847",10
"848",306
"849",413
"850",169
"851",233
"852",17
"853",5
"854",144
"855",31
"856",41
"857",149
"858",10
"859",15
"860",30
"861",5
"862",28
"863",13
"864",256
"865",92
"866",70
"867",6
"868",4
"869",49
"870",44
"871",69
"872",5
"873",3
"874",3
"875",21
"876",18
"877",16
"878",19
"879",4
"880",5
"881",8
"882",23
"883",52
"884",5
"885",3
"886",20
"887",49
"888",3
"889",18
"890",31
"891",111
"892",39
"893",90
"894",50
