"","x"
"639",8
"640",218
"641",104
"642",20
"643",38
"644",32
"645",101
"646",47
"647",44
"648",50
"649",96
"650",10
"651",10
"652",27
"653",13
"654",20
"655",53
"656",9
"657",16
"658",9
"659",11
"660",7
"661",6
"662",11
"663",26
"664",7
"665",9
"666",7
"667",14
"668",8
"669",9
"670",3
"671",12
"672",8
"673",6
"674",15
"675",6
"676",7
"677",5
"678",5
"679",19
"680",4
"681",4
"682",21
"683",59
"684",23
"685",30
"686",10
"687",56
"688",57
"689",9
"690",7
"691",7
"692",4
"693",18
"694",4
"695",21
"696",5
"697",459
"698",27
"699",201
"700",71
"701",47
"702",85
"703",106
"704",64
"705",123
"706",35
"707",5
"708",90
"709",13
"710",132
"711",135
"712",51
"713",105
"714",4
"715",42
"716",87
"717",62
"718",23
"719",68
"720",45
"721",10
"722",30
"723",39
"724",12
"725",59
"726",56
"727",31
"728",13
"729",5
"730",32
"731",101
"732",35
"733",137
"734",69
"735",8
"736",9
"737",113
"738",9
"739",3
"740",62
"741",5
"742",42
"743",10
"744",12
"745",4
"746",8
"747",10
"748",26
"749",7
"750",9
"751",35
"752",6
"753",10
"754",27
"755",10
"756",77
"757",41
"758",11
"759",5
"760",5
"761",14
"762",16
"763",50
"764",63
"765",25
"766",12
"767",14
"768",8
"769",15
"770",3
"771",38
"772",6
"773",10
"774",15
"775",9
"776",18
"777",46
"778",24
"779",24
"780",40
"781",7
"782",2
"783",5
"784",6
"785",2
"786",4
"787",3
"788",23
"789",16
"790",48
"791",159
"792",61
"793",18
"794",71
"795",171
"796",4
"797",5
"798",218
"799",61
"800",132
"801",4
"802",252
"803",138
"804",350
"805",176
"806",3
"807",3
"808",2
"809",170
"810",185
"811",21
"812",3
"813",36
"814",107
"815",4
"816",37
"817",13
"818",128
"819",135
"820",57
"821",17
"822",4
"823",70
"824",5
"825",5
"826",3
"827",16
"828",18
"829",12
"830",4
"831",20
"832",14
"833",45
"834",7
"835",7
"836",11
"837",56
"838",32
"839",8
"840",43
"841",6
"842",6
"843",42
"844",18
"845",5
"846",4
"847",2
"848",6
"849",3
"850",7
"851",40
"852",18
"853",7
"854",40
"855",9
"856",22
"857",41
"858",107
"859",56
"860",33
"861",20
"862",19
"863",17
"864",11
"865",5
"866",7
"867",17
"868",185
"869",3
"870",6
"871",5
"872",8
"873",8
"874",3
"875",68
"876",6
"877",65
"878",113
"879",22
"880",36
"881",91
"882",231
"883",34
"884",91
"885",11
"886",70
"887",108
"888",22
"889",200
"890",55
"891",80
"892",82
"893",37
"894",98
"895",18
"896",17
"897",18
"898",19
"899",41
"900",4
"901",57
"902",43
"903",74
"904",12
"905",7
"906",10
"907",55
"908",35
"909",61
"910",7
"911",189
"912",16
"913",4
"914",14
"915",68
"916",88
"917",13
"918",3
"919",8
"920",5
"921",26
"922",4
"923",32
"924",16
"925",25
"926",16
"927",11
"928",15
"929",10
"930",16
"931",26
"932",32
"933",70
"934",22
"935",4
"936",24
"937",3
"938",14
"939",14
"940",4
"941",4
"942",16
"943",6
"944",14
"945",11
"946",13
"947",32
"948",6
"949",9
"950",15
"951",14
"952",12
"953",29
"954",13
"955",9
"956",22
"957",8
"958",20
"959",74
"960",67
"961",41
"962",3
"963",74
"964",141
"965",96
"966",6
"967",95
"968",10
"969",155
"970",167
"971",141
"972",11
"973",224
"974",151
"975",16
"976",127
"977",42
"978",19
"979",97
"980",90
"981",120
"982",309
"983",52
"984",105
"985",17
"986",13
"987",45
"988",14
"989",3
"990",72
"991",46
"992",16
"993",83
"994",23
"995",14
"996",5
"997",4
"998",55
"999",34
"1000",2
"1001",13
"1002",4
"1003",69
"1004",63
"1005",16
"1006",14
"1007",5
"1008",33
"1009",19
"1010",16
"1011",33
"1012",46
"1013",5
"1014",11
"1015",17
"1016",7
"1017",13
"1018",90
"1019",5
"1020",3
"1021",7
"1022",81
"1023",69
"1024",37
"1025",4
"1026",19
"1027",10
"1028",58
"1029",7
"1030",12
"1031",46
"1032",171
"1033",124
"1034",196
"1035",182
"1036",88
"1037",107
"1038",53
"1039",135
"1040",99
"1041",72
"1042",614
"1043",77
"1044",57
"1045",144
"1046",166
"1047",32
"1048",216
"1049",84
"1050",17
"1051",15
"1052",5
"1053",86
"1054",23
"1055",28
"1056",23
"1057",29
"1058",13
"1059",54
"1060",8
"1061",85
"1062",14
"1063",6
"1064",7
"1065",2
"1066",6
"1067",6
"1068",30
"1069",10
"1070",64
"1071",6
"1072",6
"1073",10
"1074",6
"1075",5
"1076",30
"1077",51
"1078",10
"1079",39
"1080",7
"1081",23
"1082",9
"1083",17
"1084",15
"1085",28
"1086",16
"1087",4
"1088",3
"1089",137
"1090",31
"1091",3
"1092",3
"1093",4
"1094",415
"1095",66
"1096",35
"1097",45
"1098",265
"1099",64
"1100",6
"1101",21
"1102",68
"1103",440
"1104",201
"1105",238
"1106",32
"1107",14
"1108",89
"1109",3
"1110",22
"1111",6
"1112",160
"1113",29
"1114",37
"1115",111
"1116",108
"1117",76
"1118",45
"1119",18
"1120",78
"1121",5
"1122",14
"1123",30
"1124",25
"1125",4
"1126",6
"1127",14
"1128",17
"1129",19
"1130",103
"1131",36
"1132",119
"1133",8
"1134",12
"1135",6
"1136",5
"1137",94
"1138",53
"1139",62
"1140",8
"1141",3
"1142",7
"1143",99
"1144",37
"1145",4
"1146",3
"1147",5
"1148",3
"1149",7
"1150",4
"1151",4
"1152",6
"1153",16
"1154",13
"1155",32
"1156",30
"1157",20
"1158",14
"1159",2
"1160",9
"1161",8
"1162",39
"1163",94
"1164",3
"1165",95
"1166",11
"1167",29
"1168",166
"1169",73
"1170",4
"1171",157
"1172",280
"1173",362
"1174",77
"1175",223
"1176",70
"1177",504
"1178",137
"1179",265
"1180",48
"1181",98
"1182",50
"1183",102
"1184",112
"1185",7
"1186",133
"1187",95
"1188",16
"1189",23
"1190",12
"1191",6
"1192",59
"1193",8
"1194",9
"1195",20
"1196",6
"1197",6
"1198",6
"1199",27
"1200",21
"1201",19
"1202",15
"1203",55
"1204",102
"1205",61
"1206",29
"1207",7
"1208",192
"1209",3
"1210",157
"1211",85
"1212",57
"1213",158
"1214",23
"1215",30
"1216",14
"1217",29
"1218",24
"1219",13
"1220",49
"1221",6
"1222",5
"1223",2
"1224",5
"1225",222
"1226",223
"1227",26
"1228",8
"1229",85
"1230",143
"1231",21
"1232",18
"1233",47
"1234",40
"1235",82
"1236",13
"1237",306
"1238",116
"1239",7
"1240",7
"1241",26
"1242",191
"1243",100
"1244",8
"1245",16
"1246",124
"1247",36
"1248",12
"1249",17
"1250",36
"1251",9
"1252",8
"1253",87
"1254",14
"1255",53
"1256",10
"1257",7
"1258",26
"1259",47
"1260",25
"1261",13
"1262",7
"1263",21
"1264",35
"1265",2
"1266",73
"1267",5
"1268",26
"1269",6
"1270",6
"1271",56
"1272",10
"1273",5
"1274",6
"1275",4
"1276",5
"1277",5
"1278",12
"1279",34
"1280",4
"1281",11
"1282",10
"1283",40
"1284",7
"1285",9
"1286",9
"1287",67
"1288",7
"1289",28
"1290",177
"1291",354
"1292",113
"1293",29
"1294",28
"1295",95
"1296",42
"1297",97
"1298",406
"1299",78
"1300",28
"1301",39
"1302",25
"1303",127
"1304",154
"1305",163
"1306",13
"1307",9
"1308",184
"1309",79
"1310",276
"1311",78
"1312",13
"1313",45
"1314",240
"1315",17
"1316",68
"1317",22
"1318",8
"1319",36
"1320",9
"1321",31
"1322",8
"1323",4
"1324",52
"1325",44
"1326",16
"1327",45
"1328",33
"1329",27
"1330",6
"1331",6
"1332",9
"1333",7
"1334",5
"1335",9
"1336",27
"1337",20
"1338",38
"1339",8
"1340",28
"1341",3
"1342",30
"1343",209
"1344",6
"1345",12
"1346",16
"1347",52
"1348",19
"1349",193
"1350",201
"1351",92
"1352",95
"1353",95
"1354",531
"1355",3
"1356",621
"1357",31
"1358",62
"1359",123
"1360",64
"1361",279
"1362",49
"1363",98
"1364",50
"1365",169
"1366",12
"1367",106
"1368",112
"1369",25
"1370",13
"1371",8
"1372",10
"1373",55
"1374",5
"1375",5
"1376",28
"1377",6
"1378",33
"1379",26
"1380",54
"1381",7
"1382",11
"1383",4
"1384",5
"1385",12
"1386",8
"1387",10
"1388",106
"1389",14
"1390",112
"1391",21
"1392",65
"1393",8
"1394",66
"1395",211
"1396",8
"1397",53
"1398",212
"1399",126
"1400",33
"1401",67
"1402",445
"1403",178
"1404",374
"1405",108
"1406",21
"1407",172
"1408",12
"1409",152
"1410",125
"1411",260
"1412",30
"1413",10
"1414",14
"1415",4
"1416",36
"1417",26
"1418",22
"1419",35
"1420",6
"1421",15
"1422",35
"1423",34
"1424",10
"1425",34
"1426",50
"1427",44
"1428",35
"1429",8
"1430",140
"1431",38
"1432",6
"1433",9
"1434",157
"1435",471
"1436",5
"1437",31
"1438",282
"1439",531
"1440",333
"1441",75
"1442",90
"1443",99
"1444",103
"1445",293
"1446",213
"1447",3
"1448",371
"1449",73
"1450",10
"1451",8
"1452",8
"1453",76
"1454",107
"1455",185
"1456",416
"1457",124
"1458",43
"1459",359
"1460",4
"1461",10
"1462",306
"1463",413
"1464",169
"1465",233
"1466",17
"1467",5
"1468",144
"1469",31
"1470",41
"1471",149
"1472",10
"1473",15
"1474",30
"1475",5
"1476",28
"1477",13
"1478",256
"1479",92
"1480",70
"1481",6
"1482",4
"1483",49
"1484",44
"1485",69
"1486",5
"1487",3
"1488",3
"1489",21
"1490",18
"1491",16
"1492",19
"1493",4
"1494",5
"1495",8
"1496",23
"1497",52
"1498",5
"1499",3
"1500",20
"1501",49
"1502",3
"1503",18
"1504",31
"1505",111
"1506",39
"1507",90
"1508",50
"1509",201
"1510",193
"1511",217
"1512",25
"1513",237
"1514",14
"1515",59
"1516",522
"1517",48
"1518",15
"1519",546
"1520",109
"1521",310
"1522",117
"1523",93
"1524",4
"1525",29
"1526",101
"1527",5
"1528",47
"1529",61
"1530",25
"1531",96
"1532",16
"1533",7
"1534",9
"1535",20
"1536",30
"1537",44
"1538",28
"1539",47
"1540",16
"1541",155
"1542",29
"1543",99
"1544",57
"1545",242
"1546",147
"1547",475
"1548",37
"1549",34
"1550",500
"1551",400
"1552",112
"1553",523
"1554",17
"1555",5
"1556",69
"1557",29
"1558",8
"1559",118
"1560",138
"1561",36
"1562",114
"1563",144
"1564",6
"1565",10
"1566",44
"1567",23
"1568",59
"1569",119
"1570",4
"1571",136
"1572",23
"1573",9
