"","x"
"625",807
"626",39
"627",105
"628",392
"629",682
"630",277
"631",406
"632",59
"633",314
"634",563
"635",15
"636",14
"637",9
"638",8
"639",10
"640",10
"641",8
"642",10
"643",13
"644",125
"645",183
"646",648
"647",302
"648",296
"649",570
"650",197
"651",59
"652",343
"653",12
"654",229
"655",164
"656",22
"657",12
"658",544
"659",322
"660",15
"661",11
"662",848
"663",246
"664",172
"665",411
"666",258
"667",96
"668",1392
"669",627
"670",449
"671",215
"672",167
"673",30
"674",43
"675",488
"676",515
"677",245
"678",579
"679",567
"680",451
"681",390
"682",208
"683",462
"684",142
"685",239
"686",409
"687",352
"688",514
"689",300
"690",97
"691",49
"692",173
"693",241
"694",261
"695",185
"696",279
"697",9
"698",185
"699",1085
"700",314
"701",726
"702",2023
"703",325
"704",397
"705",155
"706",363
"707",163
"708",518
"709",153
"710",72
"711",697
"712",253
"713",145
"714",190
"715",321
"716",375
"717",330
"718",139
"719",108
"720",143
"721",214
"722",46
"723",503
"724",404
"725",283
"726",533
"727",26
"728",325
"729",221
"730",506
"731",294
"732",724
"733",324
"734",473
"735",256
"736",337
"737",83
"738",43
"739",1465
"740",431
"741",15
"742",14
"743",11
"744",1978
"745",473
"746",1313
"747",246
"748",135
"749",39
"750",282
"751",53
"752",76
"753",373
"754",248
"755",311
"756",359
"757",400
"758",348
"759",148
"760",1106
"761",393
"762",401
"763",425
"764",37
"765",1002
"766",850
"767",483
"768",14
"769",982
"770",797
"771",388
"772",199
"773",869
"774",86
"775",292
"776",447
"777",2216
"778",357
"779",67
"780",2949
"781",462
"782",44
"783",233
"784",633
"785",154
"786",66
"787",819
"788",338
"789",629
"790",1123
"791",637
"792",332
"793",226
"794",23
"795",67
"796",112
"797",504
"798",58
"799",87
"800",51
"801",69
"802",333
"803",10
"804",391
"805",987
"806",326
"807",201
"808",352
"809",2305
"810",661
"811",1516
"812",103
"813",346
"814",73
"815",225
"816",2828
"817",394
"818",61
"819",471
"820",340
"821",578
"822",210
"823",1796
"824",359
"825",742
"826",47
"827",321
"828",271
"829",754
"830",100
"831",92
"832",225
"833",39
"834",72
"835",678
"836",344
"837",84
"838",356
"839",634
"840",338
"841",468
"842",293
"843",151
"844",260
"845",80
"846",201
"847",481
"848",35
"849",48
"850",276
"851",196
"852",412
"853",324
"854",49
"855",99
"856",236
"857",390
"858",96
"859",444
"860",97
"861",359
"862",59
"863",197
"864",391
"865",33
"866",57
"867",36
"868",561
"869",338
"870",25
"871",58
"872",21
"873",67
"874",167
"875",298
"876",506
"877",280
"878",940
"879",621
"880",26
"881",455
"882",1289
"883",17
"884",17
"885",356
"886",460
"887",51
"888",46
"889",155
"890",274
"891",21
"892",30
"893",17
"894",291
"895",11
"896",197
"897",472
"898",159
"899",72
"900",11
"901",153
"902",17
"903",22
"904",175
"905",235
"906",370
"907",811
"908",334
"909",574
"910",60
"911",43
"912",628
"913",558
"914",424
"915",463
"916",620
"917",412
"918",156
"919",383
"920",3481
"921",477
"922",59
"923",172
"924",357
"925",386
"926",90
"927",151
"928",88
"929",301
"930",197
"931",596
"932",53
"933",2080
"934",366
"935",204
"936",220
"937",358
"938",320
"939",400
"940",882
"941",492
"942",876
"943",25
"944",261
"945",21
"946",1141
"947",111
"948",103
"949",239
"950",10
"951",225
"952",45
"953",85
"954",3584
"955",335
"956",611
"957",17
"958",766
"959",346
"960",237
"961",278
"962",50
"963",1141
"964",110
"965",207
"966",33
"967",26
"968",11
"969",477
"970",14
"971",414
"972",394
"973",157
"974",494
"975",586
"976",116
"977",315
"978",84
"979",157
"980",12
"981",13
"982",9
"983",12
"984",26
"985",5841
"986",410
"987",560
"988",749
"989",324
"990",695
"991",112
"992",621
"993",475
"994",38
"995",172
"996",880
"997",56
"998",316
"999",311
"1000",332
"1001",1257
"1002",359
"1003",305
"1004",393
"1005",924
"1006",13
"1007",304
"1008",482
"1009",424
"1010",244
"1011",100
"1012",628
"1013",1330
"1014",444
"1015",441
"1016",11
"1017",107
"1018",28
"1019",33
"1020",1121
"1021",144
"1022",602
"1023",246
"1024",169
"1025",1069
"1026",91
"1027",162
"1028",90
"1029",84
"1030",45
"1031",19
"1032",419
"1033",34
"1034",457
"1035",19
"1036",651
"1037",762
"1038",40
"1039",25
"1040",610
"1041",20
"1042",134
"1043",186
"1044",32
"1045",17
"1046",313
"1047",1002
"1048",178
"1049",4395
"1050",407
"1051",389
"1052",340
"1053",435
"1054",378
"1055",1461
"1056",383
"1057",391
"1058",13
"1059",42
"1060",287
"1061",54
"1062",761
"1063",256
"1064",526
"1065",317
"1066",170
"1067",143
"1068",160
"1069",687
"1070",1322
"1071",165
"1072",319
"1073",68
"1074",74
"1075",633
"1076",92
"1077",82
"1078",445
"1079",32
"1080",64
"1081",72
"1082",1290
"1083",271
"1084",199
"1085",129
"1086",15
"1087",173
"1088",417
"1089",51
"1090",377
"1091",24
"1092",1648
"1093",455
"1094",369
"1095",299
"1096",1567
"1097",309
"1098",190
"1099",52
"1100",559
"1101",40
"1102",302
"1103",169
"1104",185
"1105",738
"1106",264
"1107",228
"1108",16
"1109",186
"1110",1237
"1111",594
"1112",674
"1113",432
"1114",50
"1115",713
"1116",1613
"1117",262
"1118",241
"1119",961
"1120",171
"1121",120
"1122",69
"1123",599
"1124",371
"1125",261
"1126",28
"1127",112
"1128",135
"1129",198
"1130",95
"1131",733
"1132",60
"1133",1046
"1134",86
"1135",388
"1136",340
"1137",108
"1138",288
"1139",589
"1140",430
"1141",264
"1142",61
"1143",189
"1144",455
"1145",222
"1146",417
"1147",513
"1148",312
"1149",28
"1150",259
"1151",121
"1152",1120
"1153",315
"1154",392
"1155",39
"1156",894
"1157",222
"1158",265
"1159",443
"1160",410
"1161",1953
"1162",82
"1163",522
"1164",398
"1165",72
"1166",28
"1167",582
"1168",392
"1169",163
"1170",429
"1171",783
"1172",505
"1173",369
"1174",175
"1175",365
"1176",641
"1177",456
"1178",551
"1179",336
"1180",35
"1181",246
"1182",1269
"1183",1832
"1184",938
"1185",322
"1186",117
"1187",1073
"1188",96
"1189",159
"1190",48
"1191",331
"1192",354
"1193",180
"1194",173
"1195",229
"1196",12
"1197",138
"1198",604
"1199",251
"1200",555
"1201",220
"1202",873
"1203",526
"1204",1465
"1205",237
"1206",209
"1207",56
"1208",1009
"1209",346
"1210",457
"1211",64
"1212",129
"1213",293
"1214",27
"1215",305
"1216",111
"1217",41
"1218",21
"1219",111
"1220",168
"1221",14
"1222",139
"1223",408
"1224",636
"1225",310
"1226",27
"1227",205
"1228",59
"1229",64
"1230",996
"1231",583
"1232",1801
"1233",1017
"1234",130
"1235",222
"1236",87
"1237",205
"1238",996
"1239",52
"1240",450
"1241",194
"1242",152
"1243",148
"1244",657
"1245",331
"1246",413
"1247",311
"1248",138
"1249",487
"1250",308
"1251",184
"1252",321
"1253",1767
"1254",555
"1255",126
"1256",624
"1257",1750
"1258",316
"1259",445
"1260",223
"1261",282
"1262",395
"1263",801
"1264",265
"1265",789
"1266",719
"1267",73
"1268",905
"1269",101
"1270",290
"1271",7167
"1272",615
"1273",167
"1274",55
"1275",201
"1276",450
"1277",710
"1278",661
"1279",57
"1280",14
"1281",53
"1282",21
"1283",50
"1284",258
"1285",5
"1286",279
"1287",2229
"1288",329
"1289",694
"1290",705
"1291",1886
"1292",698
"1293",162
"1294",988
"1295",631
"1296",831
"1297",977
"1298",1628
"1299",958
"1300",1394
"1301",1176
"1302",1351
"1303",572
"1304",645
"1305",486
"1306",459
"1307",524
"1308",42
"1309",408
"1310",201
"1311",200
"1312",197
"1313",1962
"1314",576
"1315",1059
