"Data","Hora.Chegada","Chamada","Hora.Chamada","Guiche","Tempo.Espera","arrivalTimestamp","servStartTimestamp","turno","Tipo","waitingTime","servDuration","timediff"
"2016/02/03","18:10:09","A064","18:10:17","6","0",2016-02-03 18:10:09,2016-02-03 18:10:17,"3","A",8,4124,931
"2016/02/03","18:11:43","A065","18:12:15","5","0",2016-02-03 18:11:43,2016-02-03 18:12:15,"3","A",32,478,94
"2016/02/03","18:14:50","A066","18:20:13","5","5",2016-02-03 18:14:50,2016-02-03 18:20:13,"3","A",323,387,187
"2016/02/03","18:15:13","A067","18:21:15","1","6",2016-02-03 18:15:13,2016-02-03 18:21:15,"3","A",362,2589,23
"2016/02/03","18:25:08","A068","18:26:40","5","1",2016-02-03 18:25:08,2016-02-03 18:26:40,"3","A",92,1075,595
"2016/02/03","18:41:12","E005","18:42:49","3","1",2016-02-03 18:41:12,2016-02-03 18:42:49,"3","E",97,837,964
"2016/02/03","18:44:22","A069","18:44:35","5","0",2016-02-03 18:44:22,2016-02-03 18:44:35,"3","A",13,919,190
"2016/02/03","18:46:12","A070","18:46:46","9","0",2016-02-03 18:46:12,2016-02-03 18:46:46,"3","A",34,612,110
"2016/02/03","18:56:40","A071","18:56:46","3","0",2016-02-03 18:56:40,2016-02-03 18:56:46,"3","A",6,487,628
"2016/02/03","18:56:50","A072","18:56:58","9","0",2016-02-03 18:56:50,2016-02-03 18:56:58,"3","A",8,1577,10
"2016/02/03","18:57:25","A073","18:59:54","5","2",2016-02-03 18:57:25,2016-02-03 18:59:54,"3","A",149,3489,35
"2016/02/04","18:15:16","A096","18:15:27","5","0",2016-02-04 18:15:16,2016-02-04 18:15:27,"3","A",11,1085,1272
"2016/02/04","18:19:51","A097","18:20:12","1","0",2016-02-04 18:19:51,2016-02-04 18:20:12,"3","A",21,3860,275
"2016/02/04","18:22:05","A098","18:24:57","6","2",2016-02-04 18:22:05,2016-02-04 18:24:57,"3","A",172,450,134
"2016/02/04","18:26:58","A099","18:27:18","3","0",2016-02-04 18:26:58,2016-02-04 18:27:18,"3","A",20,1312,293
"2016/02/04","18:32:13","A100","18:32:27","6","0",2016-02-04 18:32:13,2016-02-04 18:32:27,"3","A",14,397,315
"2016/02/04","18:33:27","A101","18:33:32","5","0",2016-02-04 18:33:27,2016-02-04 18:33:32,"3","A",5,1644,74
"2016/02/04","18:38:05","A102","18:39:04","6","0",2016-02-04 18:38:05,2016-02-04 18:39:04,"3","A",59,1267,278
"2016/02/04","18:46:05","A103","18:46:07","7","0",2016-02-04 18:46:05,2016-02-04 18:46:07,"3","A",2,672,480
"2016/02/04","18:49:04","A104","18:49:10","3","0",2016-02-04 18:49:04,2016-02-04 18:49:10,"3","A",6,596,179
"2016/02/04","18:57:08","A105","18:57:19","7","0",2016-02-04 18:57:08,2016-02-04 18:57:19,"3","A",11,557,484
"2016/02/04","18:57:20","E010","19:01:09","3","3",2016-02-04 18:57:20,2016-02-04 19:01:09,"3","E",229,785,12
"2016/02/04","18:57:40","A106","18:59:06","3","1",2016-02-04 18:57:40,2016-02-04 18:59:06,"3","A",86,123,20
"2016/02/04","18:59:38","A107","19:00:11","6","0",2016-02-04 18:59:38,2016-02-04 19:00:11,"3","A",33,5640,118
"2016/02/05","18:00:35","A097","18:00:38","9","0",2016-02-05 18:00:35,2016-02-05 18:00:38,"3","A",3,4740,601
"2016/02/05","18:08:18","E009","18:08:47","1","0",2016-02-05 18:08:18,2016-02-05 18:08:47,"3","E",29,2525,463
"2016/02/05","18:21:52","A098","18:22:12","3","0",2016-02-05 18:21:52,2016-02-05 18:22:12,"3","A",20,1701,814
"2016/02/05","18:22:45","A099","18:22:53","5","0",2016-02-05 18:22:45,2016-02-05 18:22:53,"3","A",8,2601,53
"2016/02/05","18:50:05","A100","18:50:33","3","0",2016-02-05 18:50:05,2016-02-05 18:50:33,"3","A",28,218,1640
"2016/02/05","18:50:25","E010","18:50:52","1","0",2016-02-05 18:50:25,2016-02-05 18:50:52,"3","E",27,1566,20
"2016/02/05","18:53:39","A101","18:54:11","3","0",2016-02-05 18:53:39,2016-02-05 18:54:11,"3","A",32,1645,194
"2016/02/10","18:00:24","A152","18:09:07","5","8",2016-02-10 18:00:24,2016-02-10 18:09:07,"3","A",523,1293,117
"2016/02/10","18:01:43","EP006","18:03:29","16","1",2016-02-10 18:01:43,2016-02-10 18:03:29,"3","EP",106,1134,79
"2016/02/10","18:01:47","A153","18:10:26","9","8",2016-02-10 18:01:47,2016-02-10 18:10:26,"3","A",519,9,4
"2016/02/10","18:07:14","A154","18:10:35","9","3",2016-02-10 18:07:14,2016-02-10 18:10:35,"3","A",201,245,327
"2016/02/10","18:13:01","A155","18:14:40","9","1",2016-02-10 18:13:01,2016-02-10 18:14:40,"3","A",99,82,347
"2016/02/10","18:13:56","A156","18:16:02","9","2",2016-02-10 18:13:56,2016-02-10 18:16:02,"3","A",126,344,55
