"servers";"mn.custServ";"sd.custServ";"mn.avgD";"sd.avgD";"mn.avgQ";"sd.avgQ";"mn.avgU";"sd.avgU"
6;68,52;9,45748594522035;118,494898334633;129,072762695889;2,70223055555556;3,09273593703333;0,625775;0,0862824434056187
7;69,96;9,09536456474707;137,668462272977;155,915701276287;3,11294166666667;3,52819293515324;0,641290046296296;0,0846958187709531
8;70,79;7,50662333805247;117,456691703029;124,425083388902;2,76141944444444;3,0834968293411;0,645793287037037;0,073062141094839
9;71,52;9,43824157565402;148,267077485883;129,279680542311;3,46553611111111;3,33289330785689;0,657561342592593;0,0769296218721174
10;73,32;8,24483921840649;82,1047877028169;101,711120344397;1,92297777777778;2,66497502638547;0,676705787037037;0,0874928982552779
11;76,21;9,71544121385117;45,4338623794933;61,9457029206906;1,07369166666667;1,56485835827638;0,690667824074074;0,105052920602611
12;77,89;10,3386056930694;21,5001364378853;27,2096539581193;0,499358333333333;0,653635237750283;0,713488194444444;0,103397799146249
