"","x"
"633",631
"634",831
"635",977
"636",1628
"637",958
"638",1394
"639",1176
"640",1351
"641",572
"642",645
"643",486
"644",459
"645",524
"646",42
"647",408
"648",201
"649",200
"650",197
"651",1962
"652",576
"653",1059
"654",897
"655",115
"656",382
"657",968
"658",1113
"659",775
"660",2206
"661",474
"662",218
"663",997
"664",731
"665",596
"666",541
"667",126
"668",613
"669",718
"670",1315
"671",600
"672",463
"673",218
"674",328
"675",1533
"676",175
"677",307
"678",347
"679",344
"680",182
"681",186
"682",1011
"683",293
"684",1128
"685",452
"686",265
"687",519
"688",28
"689",243
"690",2191
"691",320
"692",357
"693",20
"694",631
"695",928
"696",339
"697",596
"698",1430
"699",502
"700",435
"701",742
"702",921
"703",272
"704",792
"705",2112
"706",335
"707",54
"708",445
"709",531
"710",1051
"711",149
"712",494
"713",351
"714",201
"715",697
"716",464
"717",391
"718",756
"719",2016
"720",154
"721",718
"722",510
"723",2032
"724",488
"725",373
"726",289
"727",627
"728",452
"729",1562
"730",1706
"731",62
"732",164
"733",116
"734",105
"735",281
"736",427
"737",118
"738",269
"739",255
"740",227
"741",373
"742",695
"743",43
"744",275
"745",758
"746",117
"747",234
"748",523
"749",570
