"","x"
"639",7
"640",36
"641",6
"642",37
"643",15
"644",66
"645",12
"646",4
"647",4
"648",4
"649",4
"650",8
"651",11
"652",5
"653",9
"654",88
"655",10
"656",46
"657",27
"658",29
"659",89
"660",9
"661",67
"662",10
"663",39
"664",6
"665",154
"666",52
"667",10
"668",120
"669",7
"670",84
"671",94
"672",170
"673",5
"674",280
"675",59
"676",5
"677",6
"678",4
"679",39
"680",6
"681",139
"682",30
"683",36
"684",113
"685",37
"686",118
"687",4
"688",62
"689",30
"690",32
"691",8
"692",12
"693",6
"694",10
"695",11
"696",14
"697",71
"698",69
"699",12
"700",118
"701",9
"702",9
"703",65
"704",82
"705",23
"706",141
"707",29
"708",9
"709",18
"710",15
"711",7
"712",15
"713",94
"714",5
"715",10
"716",4
"717",107
"718",8
"719",16
"720",21
"721",5
"722",16
"723",25
"724",70
"725",22
"726",130
"727",6
"728",16
"729",11
"730",96
"731",50
"732",9
"733",49
"734",10
"735",14
"736",60
"737",73
"738",2
"739",9
"740",4
"741",61
"742",5
"743",34
"744",37
"745",44
"746",7
"747",3
"748",5
"749",87
"750",14
"751",12
"752",239
"753",30
"754",84
"755",5
"756",59
"757",203
"758",70
"759",50
"760",30
"761",92
"762",23
"763",37
"764",92
"765",50
"766",26
"767",58
"768",220
"769",62
"770",7
"771",14
"772",407
"773",126
"774",35
"775",9
"776",57
"777",5
"778",28
"779",31
"780",21
"781",31
"782",97
"783",39
"784",40
"785",57
"786",103
"787",8
"788",14
"789",61
"790",21
"791",34
"792",16
"793",50
"794",67
"795",53
"796",13
"797",39
"798",31
"799",57
"800",86
"801",57
"802",54
"803",39
"804",49
"805",12
"806",10
"807",24
"808",9
"809",6
"810",147
"811",77
"812",56
"813",75
"814",77
"815",23
"816",22
"817",16
"818",37
"819",80
"820",112
"821",15
"822",32
"823",145
"824",21
"825",5
"826",175
"827",77
"828",29
"829",129
"830",8
"831",29
"832",52
"833",20
"834",21
"835",65
"836",27
"837",122
"838",28
"839",19
"840",27
"841",3
"842",10
"843",72
"844",17
"845",79
"846",26
"847",6
"848",5
"849",53
"850",105
"851",35
"852",40
"853",162
"854",7
"855",13
"856",12
"857",26
"858",41
"859",7
"860",9
"861",185
"862",12
"863",14
"864",5
"865",15
"866",6
"867",41
"868",17
"869",11
"870",34
"871",58
"872",78
"873",105
"874",6
"875",62
"876",49
"877",9
"878",46
"879",118
"880",10
"881",5
"882",33
"883",14
"884",9
"885",48
"886",45
"887",45
"888",82
"889",5
"890",15
"891",32
"892",22
"893",12
"894",10
"895",35
"896",9
"897",4
"898",23
"899",17
"900",6
"901",17
"902",21
"903",8
"904",17
"905",6
"906",4
"907",277
"908",262
"909",87
"910",62
"911",51
"912",18
"913",92
"914",13
"915",136
"916",276
"917",93
"918",61
"919",12
"920",4
"921",28
"922",49
"923",14
"924",76
"925",32
"926",23
"927",28
"928",26
"929",20
"930",39
"931",66
"932",35
"933",61
"934",8
"935",32
"936",60
"937",15
"938",94
"939",4
"940",35
"941",30
"942",143
"943",65
"944",36
"945",202
"946",25
"947",6
"948",68
"949",94
"950",31
"951",5
"952",40
"953",37
"954",35
"955",45
"956",32
"957",43
"958",38
"959",12
"960",111
"961",8
"962",10
"963",6
"964",5
"965",5
"966",22
"967",53
"968",13
"969",46
"970",13
"971",5
"972",23
"973",6
"974",18
"975",12
"976",7
"977",51
"978",63
"979",3
"980",29
"981",57
"982",19
"983",2
"984",15
"985",14
"986",60
"987",31
"988",107
"989",78
"990",44
"991",65
"992",39
"993",123
"994",49
"995",85
"996",14
"997",108
"998",104
"999",107
"1000",109
"1001",87
"1002",38
"1003",14
"1004",145
"1005",68
"1006",7
"1007",5
"1008",185
"1009",20
"1010",166
"1011",8
"1012",40
"1013",93
"1014",110
"1015",29
"1016",71
"1017",53
"1018",12
"1019",32
"1020",82
"1021",139
"1022",35
"1023",110
"1024",163
"1025",6
"1026",15
"1027",27
"1028",192
"1029",6
"1030",26
"1031",8
"1032",14
"1033",78
"1034",15
"1035",5
"1036",4
"1037",4
"1038",25
"1039",34
"1040",52
"1041",3
"1042",30
"1043",18
"1044",17
"1045",99
"1046",85
"1047",5
"1048",184
"1049",357
"1050",85
"1051",72
"1052",72
"1053",248
"1054",109
"1055",8
"1056",56
"1057",110
"1058",6
"1059",53
"1060",144
"1061",23
"1062",15
"1063",118
"1064",66
"1065",48
"1066",50
"1067",42
"1068",131
"1069",109
"1070",41
"1071",24
"1072",92
"1073",5
"1074",127
"1075",8
"1076",6
"1077",5
"1078",147
"1079",7
"1080",31
"1081",9
"1082",25
"1083",83
"1084",41
"1085",64
"1086",118
"1087",7
"1088",61
"1089",63
"1090",12
"1091",8
"1092",11
"1093",12
"1094",4
"1095",39
"1096",18
"1097",16
"1098",17
"1099",16
"1100",44
"1101",121
