"","x"
"1",252
"2",91
"3",53
"4",56
"5",17
"6",62
"7",7
"8",55
"9",11
"10",24
"11",20
"12",61
"13",149
"14",34
"15",33
"16",43
"17",27
"18",50
"19",26
"20",57
"21",4
"22",4
"23",97
"24",6
"25",9
"26",19
"27",32
"28",15
"29",5
"30",109
"31",5
"32",32
"33",12
"34",14
"35",36
"36",86
"37",19
"38",50
"39",89
"40",76
"41",69
"42",18
"43",10
"44",25
"45",26
"46",44
"47",8
"48",115
"49",18
"50",87
"51",18
"52",30
"53",89
"54",65
"55",5
"56",37
"57",71
"58",8
"59",40
"60",25
"61",22
"62",8
"63",156
"64",6
"65",3
"66",6
"67",3
"68",11
"69",14
"70",13
"71",16
"72",33
"73",16
"74",34
"75",17
"76",23
"77",159
"78",17
"79",15
"80",30
"81",11
"82",8
"83",84
"84",112
"85",39
"86",27
"87",6
"88",42
"89",7
"90",5
"91",9
"92",112
"93",8
"94",13
"95",8
"96",6
"97",2
"98",15
"99",16
"100",29
"101",539
"102",130
"103",7
"104",248
"105",6
"106",57
"107",156
"108",68
"109",13
"110",154
"111",44
"112",7
"113",5
"114",38
"115",71
"116",115
"117",67
"118",6
"119",56
"120",35
"121",5
"122",78
"123",35
"124",22
"125",54
"126",20
"127",13
"128",126
"129",6
"130",35
"131",46
"132",17
"133",21
"134",25
"135",32
"136",5
"137",10
"138",27
"139",12
"140",5
"141",28
"142",31
"143",27
"144",103
"145",113
"146",29
"147",24
"148",6
"149",5
"150",3
"151",12
"152",16
"153",16
"154",89
"155",55
"156",8
"157",6
"158",10
"159",23
"160",7
"161",9
"162",40
"163",34
"164",59
"165",75
"166",20
"167",8
"168",56
"169",7
"170",5
"171",28
"172",16
"173",18
"174",16
"175",73
"176",16
"177",64
"178",21
"179",71
"180",201
"181",4
"182",256
"183",33
"184",3
"185",24
"186",52
"187",100
"188",5
"189",3
"190",4
"191",34
"192",69
"193",20
"194",33
"195",26
"196",96
"197",85
"198",10
"199",105
"200",35
"201",39
"202",47
"203",90
"204",63
"205",16
"206",42
"207",10
"208",116
"209",16
"210",8
"211",19
"212",44
"213",35
"214",26
"215",38
"216",46
"217",40
"218",44
"219",41
"220",68
"221",166
"222",68
"223",28
"224",22
"225",5
"226",61
"227",64
"228",28
"229",12
"230",175
"231",8
"232",11
"233",22
"234",5
"235",5
"236",18
"237",13
"238",21
"239",13
"240",3
"241",4
"242",6
"243",6
"244",5
"245",40
"246",37
"247",16
"248",56
"249",12
"250",40
"251",56
"252",8
"253",27
"254",47
"255",49
"256",26
"257",11
"258",6
"259",19
"260",3
"261",3
"262",5
"263",27
"264",6
"265",5
