"time","type","clientNum","chamada","busyServers","queue"
2016-02-04 19:24:11,"depart",40,"A097",1,0
2016-02-04 20:33:38,"depart",51,"A107",0,0
2016-02-05 17:03:23,"arrive",52,"A084",1,0
2016-02-05 17:07:00,"arrive",53,"A085",2,0
2016-02-05 17:12:32,"arrive",54,"A086",3,0
2016-02-05 17:14:28,"depart",52,"A084",2,0
2016-02-05 17:15:28,"arrive",55,"E006",3,0
2016-02-05 17:15:38,"arrive",56,"A087",4,0
2016-02-05 17:17:48,"arrive",57,"A088",5,0
2016-02-05 17:18:00,"depart",53,"A085",4,0
2016-02-05 17:18:30,"arrive",58,"A089",5,0
2016-02-05 17:19:34,"depart",54,"A086",4,0
2016-02-05 17:21:36,"arrive",59,"A090",5,0
2016-02-05 17:22:48,"arrive",60,"A091",6,0
2016-02-05 17:22:49,"depart",58,"A089",5,0
2016-02-05 17:23:02,"arrive",61,"A092",6,0
2016-02-05 17:26:39,"depart",56,"A087",5,0
2016-02-05 17:31:53,"depart",55,"E006",4,0
2016-02-05 17:31:59,"arrive",62,"A093",5,0
2016-02-05 17:32:16,"depart",57,"A088",4,0
2016-02-05 17:33:15,"arrive",63,"E007",5,0
2016-02-05 17:34:13,"depart",62,"A093",4,0
2016-02-05 17:34:15,"arrive",64,"A094",5,0
2016-02-05 17:43:59,"arrive",65,"A095",6,0
2016-02-05 17:44:05,"depart",60,"A091",5,0
2016-02-05 17:49:18,"depart",63,"E007",4,0
2016-02-05 17:49:18,"arrive",66,"A096",5,0
2016-02-05 17:50:01,"depart",59,"A090",4,0
2016-02-05 17:56:57,"depart",61,"A092",3,0
2016-02-05 18:00:35,"arrive",67,"A097",4,0
2016-02-05 18:08:18,"arrive",68,"E009",5,0
2016-02-05 18:08:36,"depart",65,"A095",4,0
2016-02-05 18:21:52,"arrive",69,"A098",5,0
2016-02-05 18:22:20,"depart",64,"A094",4,0
2016-02-05 18:22:45,"arrive",70,"A099",5,0
2016-02-05 18:50:05,"arrive",71,"A100",6,0
2016-02-05 18:50:13,"depart",69,"A098",5,0
2016-02-05 18:50:23,"depart",68,"E009",4,0
2016-02-05 18:50:25,"arrive",72,"E010",5,0
2016-02-05 18:53:39,"arrive",73,"A101",6,0
2016-02-05 18:53:43,"depart",71,"A100",5,0
2016-02-05 19:06:06,"depart",70,"A099",4,0
2016-02-05 19:16:31,"depart",72,"E010",3,0
2016-02-05 19:19:35,"depart",67,"A097",2,0
2016-02-05 19:21:04,"depart",73,"A101",1,0
2016-02-05 19:50:09,"depart",66,"A096",0,0
2016-02-10 17:00:57,"arrive",74,"A136",1,0
2016-02-10 17:08:15,"arrive",75,"A137",2,0
2016-02-10 17:25:43,"arrive",76,"A138",3,0
2016-02-10 17:29:58,"arrive",77,"A139",4,0
2016-02-10 17:34:48,"arrive",78,"A140",5,0
2016-02-10 17:35:46,"arrive",79,"A141",6,0
2016-02-10 17:37:10,"depart",76,"A138",5,0
2016-02-10 17:43:00,"arrive",80,"A142",6,0
2016-02-10 17:43:14,"depart",75,"A137",5,0
2016-02-10 17:44:52,"arrive",81,"A143",6,0
2016-02-10 17:46:57,"depart",77,"A139",5,0
2016-02-10 17:47:23,"arrive",82,"A144",6,0
2016-02-10 17:47:28,"arrive",83,"A145",7,0
2016-02-10 17:48:03,"depart",79,"A141",6,0
2016-02-10 17:48:29,"depart",82,"A144",5,0
2016-02-10 17:50:35,"depart",78,"A140",4,0
2016-02-10 17:51:14,"arrive",84,"A146",5,0
2016-02-10 17:51:30,"arrive",85,"A147",6,0
2016-02-10 17:51:36,"arrive",86,"A148",7,0
2016-02-10 17:55:11,"depart",81,"A143",6,0
2016-02-10 17:55:56,"depart",84,"A146",5,0
2016-02-10 17:56:26,"arrive",87,"A149",6,0
2016-02-10 17:56:55,"depart",85,"A147",5,0
2016-02-10 17:57:20,"arrive",88,"A150",6,0
2016-02-10 17:57:24,"depart",83,"A145",5,0
2016-02-10 17:58:27,"arrive",89,"A151",6,0
2016-02-10 18:00:24,"arrive",90,"A152",7,0
2016-02-10 18:01:43,"arrive",91,"EP006",8,0
2016-02-10 18:01:47,"arrive",92,"A153",9,0
2016-02-10 18:01:56,"depart",92,"A153",8,0
2016-02-10 18:04:58,"depart",88,"A150",7,0
2016-02-10 18:06:11,"depart",87,"A149",6,0
2016-02-10 18:07:14,"arrive",93,"A154",7,0
2016-02-10 18:08:42,"depart",80,"A142",6,0
2016-02-10 18:10:38,"depart",86,"A148",5,0
2016-02-10 18:11:19,"depart",93,"A154",4,0
2016-02-10 18:13:01,"arrive",94,"A155",5,0
2016-02-10 18:13:56,"arrive",95,"A156",6,0
