"round";"time";"type";"clientNum";"chamada";"busyServers";"queueSize";"numDelayed";"cumQ";"cumB"
1;2016-05-30 20:00:00;"start";0;"";4;0;0;0;0
1;2016-05-30 20:00:04;"arrive";1;"A";5;0;0;0;16
1;2016-05-30 20:00:03;"depart";-1;"I";4;0;0;0;11
1;2016-05-30 20:00:08;"arrive";2;"A";5;0;0;0;31
1;2016-05-30 20:00:10;"arrive";3;"A";6;0;0;0;41
1;2016-05-30 20:00:12;"arrive";4;"A";7;0;0;0;53
1;2016-05-30 20:00:21;"depart";4;"A";6;0;0;0;116
1;2016-05-30 20:00:42;"arrive";5;"A";7;0;0;0;242
1;2016-05-30 20:02:46;"arrive";6;"A";8;0;0;0;1110
1;2016-05-30 20:02:48;"arrive";7;"A";9;0;0;0;1126
1;2016-05-30 20:02:54;"arrive";8;"A";9;1;1;0;1180
1;2016-05-30 20:03:28;"depart";5;"A";9;0;1;34;1486
1;2016-05-30 20:04:31;"arrive";9;"A";9;1;2;34;2053
1;2016-05-30 20:04:37;"arrive";10;"A";9;2;3;40;2107
1;2016-05-30 20:04:39;"arrive";11;"A";9;3;4;44;2125
1;2016-05-30 20:04:42;"arrive";12;"A";9;4;5;53;2152
1;2016-05-30 20:05:15;"arrive";13;"A";9;5;6;185;2449
1;2016-05-30 20:05:28;"arrive";14;"A";9;6;7;250;2566
1;2016-05-30 20:06:35;"depart";3;"A";9;5;7;652;3169
1;2016-05-30 20:06:49;"depart";-4;"I";9;4;7;722;3295
1;2016-05-30 20:06:54;"depart";9;"A";9;3;7;742;3340
1;2016-05-30 20:08:48;"depart";8;"A";9;2;7;1084;4366
1;2016-05-30 20:10:17;"depart";2;"A";9;1;7;1262;5167
1;2016-05-30 20:10:19;"arrive";15;"A";9;2;8;1264;5185
1;2016-05-30 20:10:23;"arrive";16;"A";9;3;9;1272;5221
1;2016-05-30 20:10:32;"depart";11;"A";9;2;9;1299;5302
1;2016-05-30 20:10:35;"arrive";17;"A";9;3;10;1305;5329
1;2016-05-30 20:11:16;"depart";6;"A";9;2;10;1428;5698
1;2016-05-30 20:11:43;"depart";15;"A";9;1;10;1482;5941
1;2016-05-30 20:11:50;"depart";13;"A";9;0;10;1489;6004
1;2016-05-30 20:14:08;"arrive";18;"A";9;1;11;1489;7246
1;2016-05-30 20:14:12;"arrive";19;"A";9;2;12;1493;7282
1;2016-05-30 20:14:35;"arrive";20;"A";9;3;13;1539;7489
1;2016-05-30 20:16:02;"depart";7;"A";9;2;13;1800;8272
1;2016-05-30 20:17:18;"depart";10;"A";9;1;13;1952;8956
1;2016-05-30 20:17:45;"depart";18;"A";9;0;13;1979;9199
1;2016-05-30 20:17:47;"depart";19;"A";8;0;13;1979;9217
1;2016-05-30 20:17:49;"depart";-2;"I";7;0;13;1979;9233
1;2016-05-30 20:20:33;"depart";14;"A";6;0;13;1979;10381
1;2016-05-30 20:21:15;"arrive";21;"A";7;0;13;1979;10633
1;2016-05-30 20:21:17;"arrive";22;"A";8;0;13;1979;10647
1;2016-05-30 20:21:21;"depart";16;"A";7;0;13;1979;10679
1;2016-05-30 20:21:43;"arrive";23;"A";8;0;13;1979;10833
1;2016-05-30 20:22:19;"depart";17;"A";7;0;13;1979;11121
1;2016-05-30 20:22:37;"depart";1;"A";6;0;13;1979;11247
1;2016-05-30 20:22:41;"depart";23;"A";5;0;13;1979;11271
1;2016-05-30 20:22:54;"depart";21;"A";4;0;13;1979;11336
1;2016-05-30 20:23:08;"arrive";24;"A";5;0;13;1979;11392
1;2016-05-30 20:28:15;"depart";12;"A";4;0;13;1979;12927
1;2016-05-30 20:31:19;"depart";24;"A";3;0;13;1979;13663
1;2016-05-30 20:33:27;"depart";20;"A";2;0;13;1979;14047
1;2016-05-30 20:34:07;"depart";-3;"I";1;0;13;1979;14127
1;2016-05-30 20:37:44;"arrive";25;"A";2;0;13;1979;14344
1;2016-05-30 20:38:41;"arrive";26;"A";3;0;13;1979;14458
1;2016-05-30 20:38:59;"depart";26;"A";2;0;13;1979;14512
1;2016-05-30 20:43:30;"depart";22;"A";1;0;13;1979;15054
1;2016-05-30 20:46:21;"arrive";27;"A";2;0;13;1979;15225
1;2016-05-30 20:46:23;"arrive";28;"A";3;0;13;1979;15229
1;2016-05-30 20:46:31;"depart";28;"A";2;0;13;1979;15253
1;2016-05-30 20:46:37;"arrive";29;"A";3;0;13;1979;15265
1;2016-05-30 20:47:04;"depart";27;"A";2;0;13;1979;15346
1;2016-05-30 20:48:31;"depart";29;"A";1;0;13;1979;15520
1;2016-05-30 21:00:29;"arrive";30;"A";2;0;13;1979;16238
2;2016-05-30 20:00:00;"start";0;"";4;0;0;0;0
2;2016-05-30 20:00:27;"arrive";1;"A";5;0;0;0;108
2;2016-05-30 20:00:29;"arrive";2;"A";6;0;0;0;118
2;2016-05-30 20:00:55;"depart";-4;"I";5;0;0;0;274
2;2016-05-30 20:00:56;"arrive";3;"A";6;0;0;0;279
2;2016-05-30 20:01:07;"depart";-2;"I";5;0;0;0;345
2;2016-05-30 20:01:52;"depart";3;"A";4;0;0;0;570
2;2016-05-30 20:01:58;"arrive";4;"A";5;0;0;0;594
2;2016-05-30 20:02:04;"depart";-1;"I";4;0;0;0;624
2;2016-05-30 20:02:25;"arrive";5;"A";5;0;0;0;708
2;2016-05-30 20:02:29;"depart";5;"A";4;0;0;0;728
2;2016-05-30 20:04:46;"arrive";6;"A";5;0;0;0;1276
2;2016-05-30 20:04:52;"depart";2;"A";4;0;0;0;1306
2;2016-05-30 20:05:02;"arrive";7;"A";5;0;0;0;1346
2;2016-05-30 20:05:07;"arrive";8;"A";6;0;0;0;1371
2;2016-05-30 20:05:10;"depart";1;"A";5;0;0;0;1389
2;2016-05-30 20:05:11;"depart";7;"A";4;0;0;0;1394
2;2016-05-30 20:05:14;"arrive";9;"A";5;0;0;0;1406
2;2016-05-30 20:05:26;"arrive";10;"A";6;0;0;0;1466
2;2016-05-30 20:05:28;"depart";9;"A";5;0;0;0;1478
2;2016-05-30 20:05:28;"arrive";11;"A";6;0;0;0;1478
2;2016-05-30 20:05:29;"depart";-3;"I";5;0;0;0;1484
2;2016-05-30 20:06:15;"depart";10;"A";4;0;0;0;1714
