"","x"
"1",596
"2",399
"3",254
"4",424
"5",295
"6",539
"7",239
"8",183
"9",313
"10",354
"11",291
"12",227
"13",145
"14",939
"15",560
"16",1538
"17",19
"18",366
"19",1548
"20",359
"21",367
"22",916
"23",19
"24",230
"25",272
"26",15
"27",10
"28",254
"29",785
"30",204
"31",475
"32",388
"33",175
"34",174
"35",54
"36",173
"37",25
"38",246
"39",435
"40",254
"41",939
"42",866
"43",113
"44",14
"45",9
"46",1000
"47",14
"48",15
"49",11
"50",9
"51",464
"52",170
"53",431
"54",13
"55",221
"56",65
"57",1319
"58",218
"59",12
"60",14
"61",10
"62",13
"63",9
"64",119
"65",16
"66",20
"67",89
"68",15
"69",17
"70",17
"71",22
"72",12
"73",328
"74",11
"75",17
"76",10
"77",198
"78",69
"79",148
"80",17
"81",214
"82",13
"83",13
"84",77
"85",1405
"86",12
"87",221
"88",36
"89",13
"90",12
"91",261
"92",20
"93",1451
"94",405
"95",19
"96",19
"97",18
"98",320
"99",118
"100",12
"101",9
"102",222
"103",13
"104",498
"105",1098
"106",13
"107",12
"108",239
"109",50
"110",44
"111",29
"112",445
"113",258
"114",148
"115",622
"116",17
"117",16
"118",15
"119",7
"120",168
"121",332
"122",222
"123",1236
"124",144
"125",139
"126",101
"127",655
"128",11
"129",22
"130",168
"131",327
"132",307
"133",384
"134",197
"135",686
"136",356
"137",443
"138",408
"139",845
"140",12
"141",42
"142",12
"143",245
"144",2372
"145",404
"146",326
"147",249
"148",108
"149",484
"150",235
"151",262
"152",523
"153",924
"154",395
"155",2170
"156",412
"157",228
"158",37
"159",374
"160",1814
"161",264
"162",352
"163",258
"164",761
"165",488
"166",416
"167",259
"168",64
"169",202
"170",283
"171",264
"172",225
"173",310
"174",287
"175",217
"176",166
"177",291
"178",570
"179",338
"180",12
"181",191
"182",217
"183",317
"184",287
"185",662
"186",213
"187",223
"188",23
"189",24
"190",252
"191",569
"192",179
"193",1552
"194",287
"195",199
"196",172
"197",225
"198",271
"199",166
"200",140
"201",196
"202",210
"203",189
"204",269
"205",180
"206",207
"207",679
"208",145
"209",266
"210",185
"211",63
"212",237
"213",719
"214",393
"215",181
"216",13
"217",263
"218",183
"219",237
"220",242
"221",139
"222",171
"223",490
"224",226
"225",556
"226",167
"227",188
"228",295
"229",8
"230",8
"231",172
"232",1016
"233",17
"234",15
"235",19
"236",97
"237",57
"238",19
"239",21
"240",176
"241",503
"242",1312
"243",526
"244",875
"245",32
"246",2594
"247",10
"248",8
"249",8
"250",8
"251",7
"252",6
"253",197
"254",37
"255",14
"256",17
"257",10
"258",2649
"259",352
"260",1285
"261",115
"262",229
"263",155
"264",1185
"265",13
"266",1229
"267",597
"268",167
"269",16
"270",53
"271",12
"272",725
"273",317
"274",2040
"275",128
"276",399
"277",22
"278",807
"279",216
"280",23
"281",11
"282",25
"283",833
"284",341
"285",486
"286",16
"287",380
"288",269
"289",20
"290",13
"291",259
"292",479
"293",15
"294",416
"295",445
"296",40
"297",1372
"298",128
"299",90
"300",15
"301",343
"302",359
"303",344
"304",764
"305",354
"306",232
"307",180
"308",262
"309",940
"310",224
"311",450
"312",233
"313",214
"314",158
"315",208
"316",14
"317",27
"318",151
"319",281
"320",232
"321",274
"322",213
"323",764
"324",344
"325",10
"326",23
"327",91
"328",12
"329",248
"330",348
"331",98
"332",126
"333",318
"334",15
"335",10
"336",446
"337",34
"338",28
"339",719
"340",268
"341",29
"342",43
"343",10
"344",36
"345",365
"346",1665
"347",188
"348",201
"349",96
"350",243
"351",743
"352",22
"353",24
"354",853
"355",255
"356",179
"357",620
"358",18
"359",240
"360",20
"361",15
"362",1399
"363",181
"364",10
"365",219
"366",10
"367",1598
"368",18
"369",11
"370",187
"371",9
"372",9
"373",1717
"374",98
"375",16
"376",13
"377",13
"378",23
"379",35
"380",8
"381",7
"382",313
"383",208
"384",272
"385",19
"386",397
"387",17
"388",18
"389",13
"390",11
"391",10
"392",227
"393",5
"394",17
"395",18
"396",497
"397",1884
"398",360
"399",131
"400",424
"401",251
"402",254
"403",383
"404",13
"405",519
"406",208
"407",281
"408",400
"409",246
"410",204
"411",380
"412",121
"413",451
"414",115
"415",812
"416",340
"417",377
"418",294
"419",26
"420",125
"421",572
"422",537
"423",93
"424",411
"425",321
"426",65
"427",44
"428",47
"429",151
"430",271
"431",257
"432",368
"433",443
"434",304
"435",256
"436",369
"437",2092
"438",24
"439",195
"440",331
"441",206
"442",15
"443",350
"444",17
"445",11
"446",140
"447",300
"448",526
"449",319
"450",211
"451",145
"452",238
"453",230
"454",12
"455",129
"456",19
"457",268
"458",204
"459",718
"460",253
"461",100
"462",284
"463",346
"464",12
"465",113
"466",2501
"467",482
"468",99
"469",9
"470",14
"471",194
"472",153
"473",475
"474",445
"475",10
"476",11
"477",254
"478",195
"479",477
"480",14
"481",248
"482",15
"483",1024
"484",257
"485",920
"486",2082
"487",403
"488",108
"489",17
"490",403
"491",237
"492",10
"493",191
"494",326
"495",283
"496",96
"497",16
"498",10
"499",95
"500",258
"501",27
"502",112
"503",971
"504",298
"505",538
"506",17
"507",320
"508",239
"509",12
"510",13
"511",234
"512",340
"513",330
"514",465
"515",840
"516",396
"517",146
"518",20
"519",38
"520",184
"521",328
"522",571
"523",575
"524",15
"525",293
"526",143
"527",274
"528",363
"529",142
"530",2245
"531",209
"532",334
"533",352
"534",220
"535",673
"536",295
"537",21
"538",462
"539",217
"540",312
"541",276
"542",336
"543",115
"544",108
"545",320
"546",67
"547",1143
"548",295
"549",347
"550",12
"551",170
"552",17
"553",78
"554",399
"555",292
"556",16
"557",22
"558",10
"559",236
"560",332
"561",12
"562",7
"563",6
"564",235
"565",176
"566",163
"567",1419
"568",182
"569",35
"570",19
"571",1663
"572",9
"573",371
"574",157
"575",12
"576",14
"577",210
"578",223
"579",329
"580",408
"581",10
"582",69
"583",253
"584",170
"585",11
"586",278
"587",2907
"588",136
"589",7
"590",526
"591",198
"592",322
"593",275
"594",182
"595",7
"596",12
"597",5
"598",8
"599",12
"600",329
"601",245
"602",1285
"603",21
"604",487
"605",175
"606",1775
"607",118
"608",221
"609",326
"610",317
"611",335
"612",30
"613",354
"614",227
"615",465
"616",2487
"617",451
"618",320
"619",240
"620",1354
"621",179
"622",162
"623",376
"624",66
"625",273
"626",21
"627",353
"628",341
"629",1442
"630",565
"631",298
"632",838
"633",602
"634",51
"635",158
"636",1684
"637",87
"638",275
"639",254
"640",117
"641",419
"642",126
"643",14
"644",37
"645",30
"646",240
"647",324
"648",129
"649",106
"650",259
"651",14
"652",173
"653",11
"654",473
"655",286
"656",182
"657",42
"658",249
"659",426
"660",48
"661",168
"662",938
"663",226
"664",11
"665",368
"666",30
"667",12
"668",235
"669",14
"670",365
"671",32
"672",9
"673",164
"674",82
"675",12
"676",9
"677",8
"678",466
"679",16
"680",17
"681",19
"682",228
"683",14
"684",209
"685",316
"686",15
"687",278
"688",12
"689",11
"690",83
"691",10
"692",10
"693",7
"694",22
"695",28
"696",3
"697",2341
"698",1116
"699",925
"700",844
"701",266
"702",948
"703",66
"704",477
"705",1656
"706",67
"707",380
"708",2174
"709",473
"710",409
"711",872
"712",261
"713",683
"714",1169
"715",109
"716",439
"717",1312
"718",500
"719",296
"720",372
"721",260
"722",426
"723",88
"724",160
"725",4204
"726",375
"727",135
"728",12
"729",161
"730",114
"731",1118
"732",516
"733",37
"734",171
"735",169
"736",280
"737",229
"738",95
"739",105
"740",15
"741",49
"742",97
"743",430
"744",21
"745",13
"746",119
"747",16
"748",24
"749",158
"750",90
"751",320
"752",34
"753",717
"754",4662
"755",449
"756",1427
"757",299
"758",814
"759",716
"760",1352
"761",1434
"762",1795
"763",621
"764",1532
"765",896
"766",598
"767",971
"768",325
"769",732
"770",328
"771",48
"772",448
"773",324
"774",112
"775",184
"776",159
"777",131
"778",732
"779",772
"780",519
"781",124
"782",74
"783",2809
"784",207
"785",729
"786",306
"787",244
"788",29
"789",16
"790",318
"791",254
"792",1147
"793",433
"794",9
"795",12
"796",255
"797",853
"798",131
"799",12
"800",80
"801",44
"802",154
"803",70
"804",1138
"805",886
"806",1376
"807",1977
"808",3
"809",1242
"810",671
"811",1290
"812",465
"813",471
"814",849
"815",1054
"816",761
"817",700
"818",349
"819",65
"820",161
"821",485
"822",121
"823",40
"824",467
"825",493
"826",224
"827",18
"828",141
"829",255
"830",70
"831",444
"832",871
"833",777
"834",1552
"835",776
"836",489
"837",453
"838",755
"839",121
"840",842
"841",510
"842",2612
"843",401
"844",352
"845",1134
"846",1570
"847",881
"848",827
"849",424
"850",721
"851",242
"852",365
"853",173
"854",272
"855",288
