"","x"
"1",1728
"2",732
"3",816
"4",598
"5",896
"6",89
"7",462
"8",1859
"9",346
"10",724
"11",539
"12",194
"13",1515
"14",631
"15",15
"16",509
"17",249
"18",281
"19",101
"20",225
"21",70
"22",73
"23",1675
"24",1484
"25",3
"26",152
"27",695
"28",1485
"29",794
"30",642
"31",1200
"32",1765
"33",434
"34",633
"35",87
"36",1814
"37",525
"38",878
"39",381
"40",833
"41",503
"42",250
"43",244
"44",555
"45",148
"46",191
"47",2097
"48",506
"49",375
"50",1634
"51",1187
"52",4027
"53",1517
"54",662
"55",376
"56",209
"57",476
"58",2062
"59",1110
"60",4585
"61",739
"62",3193
"63",332
"64",807
"65",870
"66",1224
"67",652
"68",2325
"69",187
"70",663
"71",2901
"72",2649
"73",728
"74",552
"75",117
"76",2355
"77",107
"78",786
"79",412
"80",1524
"81",396
"82",1905
"83",178
"84",3714
"85",606
"86",801
"87",1444
"88",703
"89",1187
"90",638
"91",4611
"92",651
"93",596
"94",399
"95",254
"96",424
"97",295
"98",539
"99",239
"100",183
"101",313
"102",354
"103",291
"104",227
"105",145
"106",939
"107",560
"108",1538
"109",19
"110",366
"111",1548
"112",359
"113",367
"114",916
"115",19
"116",230
"117",272
"118",15
"119",10
"120",254
"121",785
"122",204
"123",475
"124",388
"125",175
"126",174
"127",54
"128",173
"129",25
"130",246
"131",435
"132",254
"133",939
"134",866
"135",113
"136",14
"137",9
"138",1000
"139",14
"140",15
"141",11
"142",9
"143",464
"144",170
"145",431
"146",13
"147",221
"148",65
"149",1319
"150",218
"151",12
"152",14
"153",10
"154",13
"155",9
"156",119
"157",16
"158",20
"159",89
"160",15
"161",17
"162",17
"163",22
"164",12
"165",328
"166",11
"167",17
"168",10
"169",198
"170",69
"171",148
"172",17
"173",214
"174",13
"175",13
"176",77
"177",1405
"178",12
"179",221
"180",36
"181",13
"182",12
"183",261
"184",20
"185",1451
"186",405
"187",19
"188",19
"189",18
"190",320
"191",118
"192",12
"193",9
"194",222
"195",13
"196",498
"197",1098
"198",13
"199",12
"200",239
"201",50
"202",44
"203",29
"204",445
"205",258
"206",148
"207",622
"208",17
"209",16
"210",15
"211",7
"212",168
"213",332
"214",222
"215",1236
"216",144
"217",139
"218",101
"219",655
"220",11
"221",22
"222",168
"223",327
"224",307
"225",384
"226",197
"227",686
"228",356
"229",443
"230",408
"231",845
"232",12
"233",42
"234",12
"235",245
"236",2372
"237",404
"238",326
"239",249
"240",108
"241",484
"242",235
"243",262
"244",523
"245",924
"246",395
"247",2170
"248",412
"249",228
"250",37
"251",374
"252",1814
"253",264
"254",352
"255",258
"256",761
"257",488
"258",416
"259",259
"260",64
"261",202
"262",283
"263",264
"264",225
"265",310
"266",287
"267",217
"268",166
"269",291
"270",570
"271",338
"272",12
"273",191
"274",217
"275",317
"276",287
"277",662
"278",213
"279",223
"280",23
"281",24
"282",252
"283",569
"284",179
"285",1552
"286",287
"287",199
"288",172
"289",225
"290",271
"291",166
"292",140
"293",196
"294",210
"295",189
"296",269
"297",180
"298",207
"299",679
"300",145
"301",266
"302",185
"303",63
"304",237
"305",719
"306",393
"307",181
"308",13
"309",263
"310",183
"311",237
"312",242
"313",139
"314",171
"315",490
"316",226
"317",556
"318",167
"319",188
"320",295
"321",8
"322",8
"323",172
"324",1016
"325",17
"326",15
"327",19
"328",97
"329",57
"330",19
"331",21
"332",176
"333",503
"334",1312
"335",526
"336",875
"337",32
"338",2594
"339",10
"340",8
"341",8
"342",8
"343",7
"344",6
"345",197
"346",37
"347",14
"348",17
"349",10
"350",2649
"351",352
"352",1285
"353",115
"354",229
"355",155
"356",1185
"357",13
"358",1229
"359",597
"360",167
"361",16
"362",53
"363",12
"364",725
"365",317
"366",2040
"367",128
"368",399
"369",22
"370",807
"371",216
"372",23
"373",11
"374",25
"375",833
"376",341
"377",486
"378",16
"379",380
"380",269
"381",20
"382",13
"383",259
"384",479
"385",15
"386",416
"387",445
"388",40
"389",1372
"390",128
"391",90
"392",15
"393",343
"394",359
"395",344
"396",764
"397",354
"398",232
"399",180
"400",262
"401",940
"402",224
"403",450
"404",233
"405",214
"406",158
"407",208
"408",14
"409",27
"410",151
"411",281
"412",232
"413",274
"414",213
"415",764
"416",344
"417",10
"418",23
"419",91
"420",12
"421",248
"422",348
"423",98
"424",126
"425",318
"426",15
"427",10
"428",446
"429",34
"430",28
"431",719
"432",268
"433",29
"434",43
"435",10
"436",36
"437",365
"438",1665
"439",188
"440",201
"441",96
"442",243
"443",743
"444",22
"445",24
"446",853
"447",255
"448",179
"449",620
"450",18
"451",240
"452",20
"453",15
"454",1399
"455",181
"456",10
"457",219
"458",10
"459",1598
"460",18
"461",11
"462",187
"463",9
"464",9
"465",1717
"466",98
"467",16
"468",13
"469",13
"470",23
"471",35
"472",8
"473",7
"474",313
"475",208
"476",272
"477",19
"478",397
"479",17
"480",18
"481",13
"482",11
"483",10
"484",227
"485",5
"486",17
"487",18
"488",497
"489",1884
"490",360
"491",131
"492",424
"493",251
"494",254
"495",383
"496",13
"497",519
"498",208
"499",281
"500",400
"501",246
"502",204
"503",380
"504",121
"505",451
"506",115
"507",812
"508",340
"509",377
"510",294
"511",26
"512",125
"513",572
"514",537
"515",93
"516",411
"517",321
"518",65
"519",44
"520",47
"521",151
"522",271
"523",257
"524",368
"525",443
"526",304
"527",256
"528",369
"529",2092
"530",24
"531",195
"532",331
"533",206
"534",15
"535",350
"536",17
"537",11
"538",140
"539",300
"540",526
"541",319
"542",211
"543",145
"544",238
"545",230
"546",12
"547",129
"548",19
"549",268
"550",204
"551",718
"552",253
"553",100
"554",284
"555",346
"556",12
"557",113
"558",2501
"559",482
"560",99
"561",9
"562",14
"563",194
"564",153
"565",475
"566",445
"567",10
"568",11
"569",254
"570",195
"571",477
"572",14
"573",248
"574",15
"575",1024
"576",257
"577",920
"578",2082
"579",403
"580",108
"581",17
"582",403
"583",237
"584",10
"585",191
"586",326
"587",283
"588",96
"589",16
"590",10
"591",95
"592",258
"593",27
"594",112
"595",971
"596",298
"597",538
"598",17
"599",320
"600",239
"601",12
"602",13
"603",234
"604",340
"605",330
"606",465
"607",840
"608",396
"609",146
"610",20
"611",38
"612",184
"613",328
"614",571
"615",575
"616",15
"617",293
"618",143
"619",274
"620",363
"621",142
"622",2245
"623",209
"624",334
"625",352
"626",220
"627",673
"628",295
"629",21
"630",462
"631",217
"632",312
"633",276
"634",336
"635",115
"636",108
"637",320
"638",67
"639",1143
"640",295
"641",347
"642",12
"643",170
"644",17
"645",78
"646",399
"647",292
"648",16
"649",22
"650",10
"651",236
"652",332
"653",12
"654",7
"655",6
"656",235
"657",176
"658",163
"659",1419
"660",182
"661",35
"662",19
"663",1663
"664",9
"665",371
"666",157
"667",12
"668",14
"669",210
"670",223
"671",329
"672",408
"673",10
"674",69
"675",253
"676",170
"677",11
"678",278
"679",2907
"680",136
"681",7
"682",526
"683",198
"684",322
"685",275
"686",182
"687",7
"688",12
"689",5
"690",8
"691",12
"692",329
"693",245
"694",1285
"695",21
"696",487
"697",175
"698",1775
"699",118
"700",221
"701",326
"702",317
"703",335
"704",30
"705",354
"706",227
"707",465
"708",2487
"709",451
"710",320
"711",240
"712",1354
"713",179
"714",162
"715",376
"716",66
"717",273
"718",21
"719",353
"720",341
"721",1442
"722",565
"723",298
"724",838
"725",602
"726",51
"727",158
"728",1684
"729",87
"730",275
"731",254
"732",117
"733",419
"734",126
"735",14
"736",37
"737",30
"738",240
"739",324
"740",129
"741",106
"742",259
"743",14
"744",173
"745",11
"746",473
"747",286
"748",182
"749",42
"750",249
"751",426
"752",48
"753",168
"754",938
"755",226
"756",11
"757",368
"758",30
"759",12
"760",235
"761",14
"762",365
"763",32
"764",9
"765",164
"766",82
"767",12
"768",9
"769",8
"770",466
"771",16
"772",17
"773",19
"774",228
"775",14
"776",209
"777",316
"778",15
"779",278
"780",12
"781",11
"782",83
"783",10
"784",10
"785",7
"786",22
"787",28
"788",3
"789",2341
"790",1116
"791",308
"792",178
"793",2232
"794",550
"795",329
"796",223
"797",957
"798",449
"799",1070
"800",993
"801",359
"802",1753
"803",1039
"804",1900
"805",339
"806",344
"807",113
"808",355
"809",331
"810",1084
"811",261
"812",627
"813",405
"814",118
"815",1733
"816",65
"817",334
"818",170
"819",69
"820",34
"821",133
"822",472
"823",59
"824",985
"825",101
"826",53
"827",166
"828",27
"829",49
"830",17
"831",54
"832",235
"833",402
"834",383
"835",39
"836",69
"837",385
"838",117
"839",213
"840",409
"841",27
"842",23
"843",13
"844",73
"845",355
"846",23
"847",11
"848",293
"849",274
"850",180
"851",279
"852",452
"853",212
"854",237
"855",13
"856",21
"857",221
"858",267
"859",11
"860",458
"861",298
"862",63
"863",360
"864",386
"865",15
"866",13
"867",39
"868",77
"869",28
"870",15
"871",19
"872",18
"873",11
"874",10
"875",20
"876",230
"877",1611
"878",849
"879",61
"880",141
"881",324
"882",292
"883",92
"884",957
"885",372
"886",14
"887",383
"888",60
"889",626
"890",245
"891",15
"892",35
"893",23
"894",290
"895",1171
"896",349
"897",52
"898",63
"899",148
"900",199
"901",327
"902",19
"903",432
"904",27
"905",20
"906",84
"907",135
"908",434
"909",594
"910",18
"911",140
"912",318
"913",50
"914",261
"915",153
"916",215
"917",171
"918",53
"919",408
"920",606
"921",18
"922",212
"923",13
"924",1860
"925",10
"926",8
"927",11
"928",585
"929",145
"930",274
"931",271
"932",168
"933",82
"934",305
"935",352
"936",252
"937",267
"938",21
"939",12
"940",149
"941",482
"942",15
"943",110
"944",264
"945",460
"946",500
"947",507
"948",20
"949",64
"950",671
"951",1865
"952",11
"953",1901
"954",15
"955",35
"956",415
"957",78
"958",22
"959",60
"960",541
"961",235
"962",358
"963",145
"964",309
"965",161
"966",317
"967",810
"968",243
"969",135
"970",1136
"971",697
"972",151
"973",1381
"974",283
"975",442
"976",38
"977",60
"978",421
"979",98
"980",284
"981",1114
"982",663
"983",1139
"984",421
"985",381
"986",376
"987",114
"988",11
"989",310
"990",1591
"991",302
"992",30
"993",9
"994",10
"995",10
"996",32
"997",188
"998",16
"999",13
"1000",63
"1001",12
"1002",12
"1003",7
"1004",27
"1005",187
"1006",401
"1007",414
"1008",8
"1009",343
"1010",59
"1011",652
"1012",662
"1013",182
"1014",12
"1015",137
"1016",5415
"1017",314
"1018",233
"1019",13
"1020",298
"1021",116
"1022",711
"1023",34
"1024",587
"1025",123
"1026",42
"1027",45
"1028",208
"1029",250
"1030",129
"1031",341
"1032",383
"1033",713
"1034",470
"1035",329
"1036",162
"1037",727
"1038",49
"1039",1666
"1040",1326
"1041",668
"1042",802
"1043",183
"1044",1248
"1045",209
"1046",709
"1047",333
"1048",168
"1049",33
"1050",325
"1051",361
"1052",10
"1053",25
"1054",580
"1055",119
"1056",34
"1057",205
"1058",306
"1059",327
"1060",53
"1061",206
"1062",1767
"1063",553
"1064",291
"1065",171
"1066",13
"1067",163
"1068",20
"1069",64
"1070",42
"1071",350
"1072",83
"1073",166
"1074",384
"1075",322
"1076",102
"1077",274
"1078",372
"1079",269
"1080",33
"1081",56
"1082",49
"1083",258
"1084",395
"1085",382
"1086",63
"1087",473
"1088",609
"1089",306
"1090",1005
"1091",17
"1092",19
"1093",11
"1094",460
"1095",521
"1096",315
"1097",347
"1098",76
"1099",171
"1100",190
"1101",1151
"1102",767
"1103",2345
"1104",243
"1105",51
"1106",491
"1107",566
"1108",806
"1109",196
"1110",31
"1111",52
"1112",1029
"1113",333
"1114",331
"1115",232
"1116",258
"1117",613
"1118",779
"1119",227
"1120",560
"1121",122
"1122",305
"1123",1147
"1124",30
"1125",667
"1126",11
"1127",7
"1128",781
"1129",536
"1130",346
"1131",381
"1132",783
"1133",15
"1134",42
"1135",234
"1136",18
"1137",9
"1138",10
"1139",322
"1140",75
"1141",26
"1142",264
"1143",14
"1144",214
"1145",1994
"1146",495
"1147",10
"1148",15
"1149",559
"1150",126
"1151",919
"1152",214
"1153",75
"1154",654
"1155",114
"1156",12
"1157",197
"1158",28
"1159",439
"1160",324
"1161",17
"1162",14
"1163",19
"1164",23
"1165",22
"1166",322
"1167",13
"1168",217
"1169",695
"1170",338
"1171",710
"1172",1516
"1173",372
"1174",974
"1175",586
"1176",965
"1177",906
"1178",2713
"1179",218
"1180",377
"1181",58
"1182",56
"1183",423
"1184",1264
"1185",131
"1186",303
"1187",186
"1188",427
"1189",278
"1190",21
"1191",22
"1192",392
"1193",42
"1194",8
"1195",12
"1196",611
"1197",132
"1198",9
"1199",5
"1200",640
"1201",539
"1202",248
"1203",3659
"1204",7
"1205",7
"1206",8
"1207",5
"1208",7
"1209",3
"1210",149
"1211",777
"1212",365
"1213",66
"1214",558
"1215",50
"1216",46
"1217",88
"1218",150
"1219",197
"1220",20
"1221",1469
"1222",1224
"1223",702
"1224",161
"1225",849
"1226",39
"1227",598
"1228",384
"1229",311
"1230",1071
"1231",1088
"1232",1329
"1233",31
"1234",1713
"1235",621
"1236",265
"1237",828
"1238",49
"1239",1309
"1240",354
"1241",218
"1242",357
"1243",176
"1244",202
"1245",310
"1246",91
"1247",277
"1248",164
"1249",277
"1250",11
"1251",140
"1252",105
"1253",459
"1254",37
"1255",471
"1256",27
"1257",278
"1258",499
"1259",79
"1260",100
"1261",191
"1262",424
"1263",82
"1264",363
"1265",21
"1266",224
"1267",296
"1268",508
"1269",61
"1270",98
"1271",699
"1272",229
"1273",197
"1274",20
"1275",137
"1276",357
"1277",15
"1278",191
"1279",51
"1280",25
"1281",54
"1282",14
"1283",1881
"1284",189
"1285",172
"1286",19
"1287",34
"1288",450
"1289",941
"1290",18
"1291",925
"1292",844
"1293",266
"1294",948
"1295",66
"1296",477
"1297",1656
"1298",67
"1299",380
"1300",2174
"1301",473
"1302",409
"1303",872
"1304",261
"1305",683
"1306",1169
"1307",109
"1308",439
"1309",1312
"1310",500
"1311",296
"1312",372
"1313",260
"1314",426
"1315",88
"1316",160
"1317",4204
"1318",375
"1319",135
"1320",12
"1321",161
"1322",114
"1323",1118
"1324",516
"1325",37
"1326",171
"1327",169
"1328",280
"1329",229
"1330",95
"1331",105
"1332",15
"1333",49
"1334",97
"1335",430
"1336",21
"1337",13
"1338",119
"1339",16
"1340",24
"1341",158
"1342",90
"1343",320
"1344",34
"1345",717
"1346",4662
"1347",449
"1348",1427
"1349",299
"1350",814
"1351",716
"1352",1352
"1353",1434
"1354",1795
"1355",621
"1356",1532
"1357",896
"1358",598
"1359",971
"1360",325
"1361",732
"1362",328
"1363",48
"1364",448
"1365",324
"1366",112
"1367",184
"1368",159
"1369",131
"1370",732
"1371",772
"1372",519
"1373",124
"1374",74
"1375",2809
