"servers";"round";"QsizeAtStart";"busySrvAtStart";"deltaServed";"avgD";"avgQ";"avgU"
7;1;0;7;54;322,671220554246;5,11049186103874;1,01472222222222
7;2;0;7;48;298,930698513985;4,90728098094463;1,00146422319942
7;3;0;7;55;708,85716193806;17,7999032731851;1,0275
7;4;0;7;47;451,178313437929;9,4662247626649;1,01163655671808
7;5;0;7;51;762,367888609568;15,2825370938248;1,01591289016936
7;6;0;7;58;845,249991314165;18,6681377548642;1,00827611254321
7;7;0;7;51;678,768892540651;17,0743146506945;1,00929322355323
7;8;0;7;52;832,947706084985;13,8045592005385;1,00520066777865
7;9;0;7;47;664,05065386346;11,3019297634231;1,00139011230734
7;10;0;7;47;560,95133488229;10,4286159626643;0,963482507883556
7;11;0;7;56;749,747455392565;16,8870177231895;1,00555555555556
7;12;0;7;41;748,644867018956;13,4765737711059;1,00140577899085
7;13;0;7;46;477,95971197149;8,8437461898062;0,937002031765287
7;14;0;7;62;554,12344347277;14,6493644888533;1,03435104756128
7;15;0;6;56;324,078412507262;6,58014541831281;1,0015862869081
7;16;0;7;55;634,511707392606;11,445462065604;1,00083333333333
7;17;0;7;45;1214,52502082719;27,6044967715608;1,00711800138156
7;18;0;7;49;732,129818901724;17,4660886561871;1,00682963633348
7;19;0;7;42;52,9932281800679;0,741241771645016;0,853890698542671
7;20;0;7;60;586,893464867274;12,219609947602;1,00358098417994
7;21;0;7;40;1272,5687987566;32,0073911232418;1,0231706682841
7;22;0;7;52;546,3323214696;9,62958907273081;1,00555555555556
7;23;0;7;54;463,504553887579;8,5535878661606;1,00889011230734
7;24;0;7;47;426,348526203886;6,78370763480663;1,00861111111111
7;25;0;7;57;207,872918501235;3,29132120960289;0,932248904619898
7;26;0;7;45;816,902798604965;16,2959055075381;1,01055555555556
7;27;0;7;52;479,625045006092;8,98222652150525;0,980884031587177
7;28;0;7;53;706,263266280012;14,5126557579305;1,00146844572491
7;29;0;7;48;328,03505760928;7,17538353655073;0,966630428660484
7;30;0;7;50;846,347134437561;21,7144464925263;1,00277777777778
7;31;0;7;46;297,047990327296;7,84477786295944;0,959993460481129
7;32;0;7;44;965,16281681711;19,9859055075381;1,01138888888889
7;33;0;7;51;765,004186658298;18,1572418315543;1,00777777777778
7;34;0;7;48;939,803348511457;16,8466507622268;1,00111233452956
7;35;0;7;52;742,55332915141;13,6659192028973;1,00032600124677
7;36;0;7;53;860,370088914655;20,1916182054414;1,00018922362063
7;37;0;7;45;754,143145243327;15,860413842135;1,00722222222222
7;38;0;7;57;704,878840333537;12,6603499519825;1,00333333333333
7;39;0;7;48;1169,93069851398;24,8394522183471;1,00227466821671
7;40;0;7;56;747,249741128513;16,4202515337202;1,00071344580915
7;41;0;7;54;420,4594427877;7,15655163069566;1,01221998412458
7;42;0;7;51;423,890837790919;7,64636307822333;1,00452768250117
7;43;0;7;60;550,846464816729;9,63660940375593;1,00055555555556
7;44;0;7;52;684,239713801788;14,559239316384;1,00051666799046
7;45;0;7;50;804,081798453331;17,9026751716269;1,01666666666667
7;46;0;7;58;275,679874609257;6,31954207268026;0,973563079398776
7;47;0;7;49;875,916529095903;15,7790500927634;1,00103400111198
7;48;0;7;48;712,241390133897;23,0623500025272;1,04962222390705
7;49;0;7;56;262,75997750674;4,08737742788262;0,934076889091068
7;50;0;7;50;263,870359387398;5,5628999932607;0,879618508721155
7;51;0;7;40;1067,16521869898;28,2238704954916;1,02892633333093
7;52;0;7;51;427,205284745085;8,5697737593121;1,00784717578737
7;53;0;7;48;761,243198513985;16,6096033203602;1,00259522351954
7;54;0;7;50;719,961798453331;14,05914831539;1,00111233452956
7;55;0;7;53;711,982172003332;16,3855963196357;1,01349243002278
7;56;0;7;45;240,630354632272;3,92263843443659;0,98243820713626
7;57;0;7;47;840,152100826832;16,4410327355729;1,01134860313128
7;58;0;7;44;495,503725908019;8,39160920812024;1,00041577882237
7;59;0;7;43;969,582938161007;23,7856772187683;1,011562445826
7;60;0;7;37;866,408788030212;18,3606507790751;1,00398411240843
7;61;0;7;50;578,161798453331;11,2560716472069;1,06575622333421
7;62;0;7;38;540,630135793435;17,381093668739;1,00702400128047
7;63;0;7;56;852,785455414227;17,6685085049603;1,00333333333333
7;64;0;7;43;899,047096324521;16,6821865474516;1,00060377902455
7;65;0;7;43;1099,64912422868;22,2426722146405;1,00950833459695
7;66;0;7;57;802,648068419674;23,3680422168308;1,00019749389754
7;67;0;7;41;326,212779614984;5,76712388071749;0,979367588115117
7;68;0;7;41;392,781315867494;10,5748625512256;0,965850223435296
7;69;0;7;48;465,746723517776;9,02973251971934;1,00951933332852
